State,HD_Index,LifeExpectancy,MedianEarnings,Less_Than_HS,At_Least_HS,At_Least_BA,Grad_Degree,School_Enroll,Low_Birth_Weight_Infants,3and4yr_Not_Enroll_Preschool,4thGraders_Reading_Below_Prof,HS_Freshmen_Not_Grad_4yrs,Children_Under_6_Poverty,Adults_65_Poverty,Preschool_Enrollment,Students_ESL,Sp_Ed_Students,Econ_Disad_Students,4th_Grade _Nat_Assess_Reading,8th_Grade_Nat_Assess_Math,Public_HS_Grad_Rate,HS_Grad_Enroll_College,Annual Costs of Public 4-Year College (average $),Annual_Costs_Private_4yr_College,Annual_Costs_Public_2yr_College,Per_Pupil_Spending,State_Spending_Higher_Education,State_Spending_Academic_Research_Development,Indiv_Home_Internet_Access,Teenagers_Not_School_Not_Working,Total_Pop,Pop_Under_18,Pop_Over_65,Urban_Pop,Rural_Pop,White_non_Latino_Pop,Latino_Pop,African_Amer_Pop,Asian_Amer_Pop,Native_Amer_Pop,Other_Races_Pop,Homeless,Commute_60_Min,Infant_Mortality_Rate,Child_Mortality,Diabetes,Obesity,Births_Teen_Girls,Practicing_Physicians,Smoking,Binge_Drinking1,Binge_Drinking2,Army_Recruits_Total,Army_Recruits_Youth1,Army_Recruits2,Violent_Crime,Property_Crime,Homicide,Homicide_Firearm,Suicide,Rape,Incarceration_Rate,State_Expenditure_Corrections,Turnout,Seats_State_Legis_Women,CO2_Emissions,Carcinogen_Releases,Lead_Releases,Mercury_Releases,Protected_Forest,Energy_Consumption,Water_Consumption,Labor_Force_Particip_Rate,State_Per_Capita_GDP,State_Min_Wage,Poverty_Rate,Child_Poverty,Unemployment_Rate,Mgmt_prof_rel_occup,Service _occup,Sales_and_office_occup,Farm_fish_forestry_occup,Construct_extraction_maintenance_repair_occupations,Prod_trans_material_moving_occup,1860_Status,Plantation
Mississippi,3.81,74.96,24430,19,81,19.51,7.07,76.13,12.1,47.4,78.22,36.2,37.8,11.93,54.45,1,13,71,21.78,19.26,63.8,78.8,12051.48,20028.79,2141,8692.81,892.6,138,61.4,8.97,2967297,25.5,12.8,49.35,50.65,58.04,2.75,36.85,0.86,0.47,1.03,0.09,6.72,9.67,54.2,11.3,34.9,55,18.3,26,14.2,19,684,1.3,1.6,260.8,2811,7.4,75.9,13,27.5,749,15331.22,59.7,14.4,21.75,6770072,1094970,0.6,,420630,1130.99,70.1,28337,,22.39,32.51,8.2,30.1,17.1,24.2,0.9,11.3,16.3,Slave,SlavePlantation
Missouri,4.6,77.54,26603,13.14,86.86,25.59,9.55,76.59,8.2,54.9,65.99,16.3,26,9.11,42.96,2,14,44,34.01,31.53,83.7,61.4,15109.59,26753.8,2440,10441.48,201.81,162,72.4,8.12,5988927,23.8,14,70.44,29.56,81,3.55,11.47,1.62,0.4,1.96,0.12,5.43,6.61,35,9.1,30.3,37.1,26.3,25,19.2,14,1562,2,1.9,450.9,3314.4,6.5,72.8,14,25.1,515,20120.79,62.5,22.3,24.12,29529729,27030661,1.23,154,321911,1698.06,77.1,36169,7.2,15.27,20.91,6.3,33.6,16.9,25.6,0.6,9.4,13.8,Slave,SlavePlantation
Montana,4.54,78.49,23606,8.27,91.73,28.81,8.99,75.72,7.5,56.4,64.27,18.1,24.2,7.04,37.22,2,12,41,35.73,45.63,81.9,60.5,12890.57,24313.81,3173,10986.02,544.74,192,71.7,9.75,989415,22.6,14.8,55.89,44.11,87.79,2.89,0.38,0.62,6.05,2.27,0.12,4.06,5.89,36.2,6.5,24.6,35,22.5,22.1,20.8,18,286,2.4,2.1,272.2,2583.7,2.7,50,21.8,37.7,368,46770.6,62.6,26,36.97,9678546,7737974,4.42,170749,434759,12088.13,76.8,32742,7.2,14.62,20.06,5.5,33.8,18.1,24.9,1.5,11.5,10.3,OpenSlave,Slave
Nebraska,5.11,79.84,26475,9.64,90.36,28.63,9.01,80.15,7.1,52.1,63.7,16.2,22.2,7.49,45,7,15,43,36.3,32.79,83.8,69.5,14081.49,24862.65,2391,11567.37,1076.58,211,76.7,3.95,1826341,25.1,13.5,73.13,26.87,82.12,9.17,4.43,1.75,0.81,1.73,0.2,3,5.25,26.2,7.8,28.4,31.1,24.5,20,22.7,13,386,1.5,1.5,259.4,2754.9,2.9,80.8,10.4,38.3,238,50237.61,60.1,20.4,24.46,1512690,673728,1.29,,373806,8049.23,83,44594,7.2,12.94,18.18,3.6,33.9,16.3,25.5,1.5,8.7,14,OpenSlave,Slave
Nevada,4.63,78.05,29526,15.35,84.65,21.69,7.35,71.84,8.3,68.1,74.5,42.2,26.4,7.55,28.44,19,11,48,25.5,28.58,57.8,51.8,14172.42,25912.75,2243,8950.34,390.36,73,78.5,11.3,2700551,24.6,12,94.2,5.8,54.14,26.53,7.7,7.07,0.87,3.68,0.54,5.57,5.59,34.8,8.6,24.5,38.6,19.8,22.9,18.6,22,774,2.1,2.4,607.6,2809.4,4.5,60.3,19.8,33.7,497,29810.3,57.1,31.7,19.32,153143381,90940251,2042.52,111,297730,1108.43,77.7,40970,6.5,14.93,21.98,9.5,27.2,25.6,25.9,0.2,11.7,9.4,OpenSlave,Slave
New Hampshire,5.73,80.32,32207,8.54,91.46,32.77,12.38,79.42,6.9,47,56.62,13.7,13.8,6.09,51.5,2,15,25,43.38,43.59,86.3,64.3,21481.39,38880.78,6687,13037.08,181.64,230,87.1,3.92,1316470,21.8,13.5,60.3,39.7,92.3,2.79,1.03,2.15,0.2,1.53,0.12,9.36,3.96,18,7.2,26.2,15.7,29.5,19.4,18.7,11,252,1.4,1.4,187.9,2324,1.1,64.3,14.1,34,213,37495.58,70.1,37,16.04,73874,13600,0.22,217424,263234,1137.22,81.2,42818,7.2,8.29,10.05,5.2,38.9,15.4,25.2,0.4,8.9,11.2,Free,Free
New Jersey,6.12,80.28,37230,11.95,88.05,35.39,13.25,81.34,8.2,36.6,56.13,12.8,16.8,7.24,67.32,4,17,33,43.87,46.83,87.2,68.6,22591.65,39706.62,3553,17774.95,411.28,101,82.3,6.51,8791894,23.5,13.5,94.68,5.32,59.31,17.69,12.8,8.19,0.14,1.87,0.15,13.92,4.81,20.4,8.4,23.7,20.1,31.8,16.8,18.2,16,999,0.8,0.9,290.2,2047.3,4.4,70.9,7.7,11.7,305,62891.66,61.9,29.2,15.5,1114619,292871,0.13,5498,304378,960.35,77.9,49020,7.2,10.26,14.48,8.4,39.3,15.8,26.6,0.1,7.9,10.4,Free,Free
New Mexico,4.52,78.43,25481,16.66,83.34,24.98,10.82,74.74,8.7,60.3,79.39,32.7,32.9,12.01,42.92,16,14,67,20.61,23.79,67.3,72.4,12520.36,24479.54,1462,9821.29,1363.16,210,65.8,9.75,2059179,25.2,13.2,77.43,22.57,40.49,46.3,1.72,1.28,8.52,1.69,0.17,5.74,5.64,41.5,7.9,26.3,53,23.8,21.5,16.4,21,528,1.6,1.8,559.1,3600.7,5.6,61.5,20.1,45.9,307,45971.56,54.7,30.4,29.93,9165816,8566014,0.99,7706,360589,1951.44,72.9,33872,7.5,20.44,29.99,6.2,33.8,18.2,24.3,1.2,12,10.5,OpenSlave,Slave
New York,5.66,80.48,32088,15.14,84.86,32.54,13.95,79.1,8.2,42.3,65.01,24,23.7,10.9,60.14,8,17,48,34.99,30.02,76,68.9,16606.04,41626.44,3848,19560.08,420.67,208,79.7,7.32,19378102,22.3,13.5,87.87,12.13,58.34,17.63,14.37,7.26,0.28,2.13,0.32,16.55,5.09,22.3,8.4,24.5,22.7,36.4,18.1,19.6,14,2971,1.1,1.1,406.8,1922,3.5,59.7,7.7,14.6,317,54154.41,53.2,24.1,10.96,2487402,537896,0.39,135820,220890,879.42,74.4,52657,7.2,14.94,21.23,7.3,37.3,19.4,25.7,0.3,7.5,9.9,Free,Free
North Carolina,4.57,77.81,26398,15.25,84.75,26.45,8.7,76.17,9.1,56.3,66.34,23.1,28.8,9.91,49.51,7,12,50,33.66,36.96,76.9,64,12873.73,33290.06,1832,9162.07,532.07,215,72,8.42,9535483,23.9,12.9,66.09,33.91,65.27,8.39,21.18,2.17,1.14,1.85,0.14,5.37,7.01,28.7,9.3,29.1,38.3,25,21.8,15.2,17,2650,2.1,2.2,353.4,3369.5,4.9,65.7,12,20.3,366,35449,64.6,25.9,16.9,6510386,1103298,0.61,6696,318046,1661,75.8,39627,7.2,17.49,24.87,8.5,33.9,16.2,24.4,0.8,10.6,14.1,Slave,SlavePlantation
North Dakota,4.9,79.55,27142,9.65,90.35,27.61,7.88,74.09,6.7,65,64.18,11.6,20.5,12.15,37.57,4,14,32,35.82,42.57,88.4,67.4,12503.49,17341.68,3929,10210.77,1317.26,282,76.5,6.5,672591,22.3,14.5,59.9,40.1,88.91,2,1.15,1.02,5.29,1.63,0.11,3.87,6.81,28.3,7.6,27.8,28.8,25,21.9,23.8,11,56,0.6,0.5,244.7,2010.1,4,25,15.6,38.9,226,49655.17,60.6,17,76.74,1547253,131434,5.12,,631739,2360.85,82.8,49847,7.2,13.03,16.23,3.5,34.5,17.1,24.3,1.7,10.3,12.1,Free,Free
Ohio,4.71,77.75,27109,11.85,88.15,24.62,8.94,77.91,8.6,54.3,66.32,18.6,28.2,7.73,46.34,2,15,43,33.68,38.91,81.4,61.5,17963.63,33449.94,3227,12026.42,264.32,159,75,6.51,11536504,23.7,14.1,77.92,22.08,81.13,3.07,12.04,1.65,0.18,1.92,0.11,4.83,7.71,32.3,9.9,29.7,34.1,28.5,25.1,20.1,14,2523,1.6,1.6,299.7,3117.4,4.3,67.8,12.2,31.7,445,39777.17,64.6,22,23.3,17889563,4099680,1.29,436,351250,1124.16,76.7,36892,7.2,15.85,23.32,6.7,33.2,17,25.2,0.4,8,16.3,Free,Free
Oklahoma,4.14,75.88,25275,13.77,86.23,22.89,7.51,75.68,8.4,57.7,73.36,21.5,28.4,9.27,45.96,6,15,60,26.64,27.28,78.5,60.2,11937.88,27058.56,2578,8504.22,669.07,91,71.3,7.95,3751351,24.8,13.5,66.24,33.76,68.65,8.85,7.25,1.71,8.23,5.3,0.13,4.65,7.59,40.9,10.1,31.1,50.4,21,26.1,16.5,17,1012,2.3,1.9,469.3,3401,5.7,70.3,16.5,41.6,668,20990.25,49.2,11.4,29.29,4447300,1248558,5.59,,422545,549.14,73.8,35726,7.2,16.91,24.74,4.4,31.9,16.8,25.4,0.7,11.5,13.6,Slave,Slave
Oregon,4.86,79.52,25719,11.25,88.75,28.75,10.47,76.05,6.3,59.1,69.65,23.7,24.7,7.89,43.72,11,14,51,30.35,32.75,76.3,47.8,16401.63,36588.81,3314,10776.17,716.08,157,81.5,9.37,3831074,22.6,13.9,81.03,18.97,78.46,11.75,1.7,3.64,1.11,3.34,0.45,5.62,4.94,23.9,6.9,26.7,28.2,28.3,19.7,16.5,15,867,1.7,1.8,247.6,3224.2,2.4,51.9,17.1,29.2,370,59308.19,63.2,28.9,11.01,5255829,768227,0.63,25,305217,2236.12,75.9,46573,8.4,15.84,21.57,7.8,34.5,17,25.2,1.7,8.8,12.6,Free,Free
Pennsylvania,5.07,78.5,29294,11.56,88.44,27.08,10.38,78.6,8.4,50.3,58.62,15.9,21.8,7.91,49.73,3,16,39,41.38,38.88,84.1,60.9,19915.62,40547.72,3577,13114.84,186.45,209,75.4,6.4,12702379,22,15.4,78.66,21.34,79.47,5.67,10.45,2.73,0.13,1.56,0.12,8.27,7.25,28.2,8.8,28.6,27,32.6,22.4,18.3,11,2171,1.3,1.3,348.7,2166.3,5.4,76.3,11.9,26.1,368,42644.61,59.4,14.6,22.14,14886133,4672988,1.93,2956,327923,853.59,75.5,39455,7.2,13.4,19.05,7.2,35,16.2,25.8,0.4,8.5,14.1,Free,Free
Rhode Island,5.38,79.87,30606,16.5,83.5,30.22,12.17,79.11,7.7,51.9,64.83,23.6,22.7,8.16,56.5,5,18,43,35.17,33.9,76.4,65.4,19815,42609.96,3652,16368.35,798.45,225,80.4,7.31,1052567,21.3,14.4,90.73,9.27,76.35,12.41,4.9,2.85,0.38,3.1,0.15,5.43,7.07,10.3,7.4,25.4,22.3,37.1,20,19.7,12,151,1,1,252.4,2572.3,3.2,55.9,12.3,27.4,241,47494.03,58,22.1,10.67,95134,23606,0.01,3461,211025,426.3,77.5,41061,7.4,14.05,19.04,8.8,36,18,25.8,0.3,7.9,12,Free,Free
South Carolina,4.35,76.95,25558,15.93,84.07,24.54,8.79,76.4,9.9,50.5,71.67,31.8,31.9,9.83,48.87,5,14,55,28.33,31.75,68.2,68.3,17640.56,27048.94,3643,10103.55,954.73,129,70,8.23,4625364,23.4,13.7,66.33,33.67,64.05,5.1,27.67,1.26,0.36,1.56,0.1,5.06,7.37,40.2,10.1,30.8,42.6,23.3,23.1,15.4,20,1387,2.1,2.2,558.8,3822.2,6.9,73.1,13.5,35.5,537,24886.25,56.6,10,20.03,7901170,1008818,0.53,73428,408789,2065.22,72.6,31345,,18.15,26.07,7.4,31.9,17.1,25,0.4,10.3,15.3,Slave,SlavePlantation
South Dakota,4.79,79.47,25706,10.37,89.63,26.26,7.71,76.16,6.8,59.4,68.65,18.2,21.4,11.11,38.09,3,14,37,31.35,41.68,81.8,71.8,12602.89,21870.71,4700,9548.33,721.22,114,76.9,6.17,814180,24.9,14.3,56.65,43.35,84.69,2.72,1.22,0.93,8.53,1.91,0.09,2.62,6.94,40.1,6.6,28.1,34.9,23,23,22.1,13,162,1.2,1.4,321.8,2060.1,3,28.6,17.5,70.2,417,29779.63,59.4,20,16.54,2351005,2111644,2.61,,340512,719.15,82,43561,7.2,14.43,18.16,4,34.2,16.9,25,1.8,9.3,12.9,OpenSlave,Slave
Tennessee,4.22,76.3,25936,16.35,83.65,23.11,8.47,75.35,9,59.2,74.18,19.6,29.4,9.68,44.47,3,12,55,25.82,23.87,80.4,62,13758.95,28745.23,3128,8760.09,605.64,127,70.4,9.24,6346105,23.6,13.4,66.39,33.61,75.65,4.57,16.54,1.42,0.26,1.56,0.17,5.54,7.93,33.9,10.4,29.2,43.2,26,23,10,14,1501,1.7,1.9,643.6,3371.4,6,65.6,14.6,31.5,434,25557.45,52.2,18.9,20.65,14220266,6267216,1.24,40365,388646,2018.1,74.1,36370,,17.68,25.66,8,32.2,16.5,25.6,0.5,9.6,15.6,Slave,SlavePlantation
Texas,4.65,78.45,27034,19.33,80.67,25.94,8.61,76.35,8.4,57.3,71.73,21.1,28.7,10.72,42.98,15,9,50,28.27,40.01,78.9,56.2,14585.01,31673.58,1585,9349.77,407,154,69.5,8.2,25145561,27.3,10.3,84.7,15.3,45.33,37.62,11.48,3.77,0.32,1.48,0.15,7.41,6.13,31.5,9.7,30.4,52.2,21.5,19.2,18.9,24,8077,2.2,2.3,408.6,3361.8,4.4,65.3,11.7,29.6,668,19159.28,49.7,23.2,27.86,27761403,2510761,1.07,13636,533133,1315.68,74.3,45025,7.2,17.91,25.75,6.1,33.1,16.7,25.6,0.5,11.7,12.3,Slave,SlavePlantation
Utah,5.03,80.2,25958,9.4,90.6,29.35,9.43,76.9,7,59.3,66.54,21.4,16.7,6.03,40.55,7,12,38,33.46,34.91,78.6,53.3,10767.94,14768.72,2860,7149.44,495.9,156,84.7,5.97,2763885,31.5,9,90.58,9.42,80.38,12.97,0.94,1.96,0.98,2.77,0.14,4.72,4.86,30.2,6.1,24.4,27.9,21,11.8,12,14,494,0.7,1.1,205.8,2991.8,1.8,59.2,18.3,33,232,54807.25,55.4,22.1,24.74,65422110,55641374,32.9,64334,304504,2292.33,77.7,38373,7.2,13.16,15.72,4.4,34.6,15.3,27.5,0.3,9.8,12.4,OpenSlave,Slave
Vermont,5.31,80.45,27111,8.99,91.01,33.6,13.27,77.65,6.1,51.9,58.71,8.6,23.5,6.79,55.41,2,15,37,41.29,46,91.4,53.5,21529.96,39327.93,5020,16228.68,157.74,189,76,5.95,625741,20.7,14.6,38.9,61.1,94.32,1.47,0.95,1.26,0.32,1.67,0.04,4.86,4.18,23.1,6.4,25.4,17.9,35.7,19.1,18.5,9,116,0.8,1.3,142.6,2398.7,1.3,25,15.7,19.3,250,62920.27,60.4,37.2,10.92,56513,23688,0.09,67768,273597,946.97,80.2,37736,8,12.71,16.66,4.6,37.6,16.8,23.7,1.2,9.9,10.7,Free,Free
Virginia,5.47,79.01,32527,13.46,86.54,34.24,14.17,76.89,8.2,51,60.86,18.8,17.5,7.42,49.54,7,13,37,39.14,39.75,81.2,63.9,18109.78,28317.21,3384,11809.21,587.07,135,80.2,6.6,8001024,23.2,12.2,75.45,24.55,64.82,7.9,19.04,5.45,0.26,2.53,0.11,8.94,6.8,25.3,7.9,29.2,27.4,27,20.9,17.9,14,2103,1.8,1.9,190.1,2162.1,3.8,70.1,11.7,17.7,505,37451.56,66.4,18.6,16.73,2836076,699355,0.43,5971,342737,1573.27,77.6,47118,7.2,11.08,14.47,5,40.4,15.8,23.8,0.5,9.2,10.4,Slave,SlavePlantation
Washington,5.4,79.92,31370,10.19,89.81,31.06,11.13,74.86,6.3,58.2,65.6,22.8,21.1,6.86,43.19,9,12,40,34.4,40.45,77.2,48.3,16253.37,36117.34,3266,10537.27,664.51,162,86.1,8.07,6724540,23.5,12.3,84.05,15.95,72.52,11.24,3.41,7.07,1.32,4.43,0.34,7.98,4.5,21.1,6.9,26.5,26.7,27.1,17.5,17.8,14,1368,1.4,1.6,295.6,3658.6,3,54.6,13.9,31.8,266,65214.94,64.1,32.7,12.18,7528351,5506956,0.13,34115,323884,1009.38,76.4,45942,8.5,13.43,18.21,6.5,37.2,16.7,24.2,1.4,9.3,11.1,Free,Free
West Virginia,3.95,75.4,25475,16.78,83.22,17.52,6.64,75.54,9.2,62.8,73.33,21.7,30.2,9.87,32.23,1,16,51,26.67,21.33,78.3,59.2,12798.92,18255.97,2871,11456.82,1008.56,94,71.2,10.04,1852994,20.9,16,48.72,51.28,93.16,1.2,3.35,0.66,0.19,1.43,0.09,9.25,7.28,36.9,11.9,32.4,44.8,25.5,28.6,10.1,14,448,2,1.9,316.3,2364.9,3.9,71.2,14.1,22.7,334,32945.42,46.3,16.4,62.99,6362782,844395,6.11,764,455110,2987.94,67.3,29427,7.2,18.14,25.46,6.6,29.8,18.5,24,0.6,13,14.1,Slave,Slave
Wisconsin,5.16,79.98,28181,9.88,90.12,26.35,8.99,78,7,55.6,66.38,8.9,22.8,7.14,45.31,5,14,39,33.62,40.97,91.1,60.1,13818.83,31442.47,3695,11886.97,841.51,199,80.3,5.37,5686986,23.6,13.7,70.15,29.85,83.32,5.91,6.17,2.25,0.85,1.5,0.11,4.71,5.84,26.1,7.2,27.7,26.2,26.8,20.9,24.3,10,1041,1.7,1.3,280.5,2453.8,3,63.9,13.4,21.3,386,51618.1,72.5,22,19.68,2721337,393954,1.33,56516,335324,1739.62,81,38845,7.2,13.21,19.07,7.2,32.7,15.7,24.3,0.9,8.5,17.9,Free,Free
Wyoming,4.83,78.34,28739,7.72,92.28,24.12,8.42,73.41,9,59.1,65.62,19.7,18.5,6.84,40.68,3,17,37,34.38,37.43,80.3,60.4,11466.91,,2164,15809.69,93.87,140,80,6.61,563626,24,12.4,64.76,35.24,85.85,8.91,0.77,0.76,2.09,1.62,0.09,5.87,6.75,27.7,7.4,25,39,19.7,23,18.9,18,135,1.8,1.8,201.4,2293.8,2.4,35.7,22.4,26.7,389,482.39,58.9,16.7,120.01,628883,136509,6.8,,902917,10173,79.9,54969,5.1,11.17,14.31,4.9,29.8,16,24.1,1.7,15.5,13,OpenSlave,Slave
